Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
20.0,2019-03-12,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-12 13:51:00.000,2019-03-12 13:52:00.000,2019-03-12 13:51:00.000,2019-03-12 13:49:00.000,2019-03-12 13:51:00.000,2019-03-12 13:49:00.000,0.0,0.0,1,2.0,1.0,-2.0,-1.0,0.0
20.0,2019-03-07,RST,FJÄRR,Passage,Passage,0,-,0,-,5,Cst,Fln,Ulriksdal,Udl,Helenelund,Hel,2019-03-07 13:51:00.000,2019-03-07 13:52:00.000,2019-03-07 13:51:00.000,2019-03-07 13:49:00.000,2019-03-07 13:51:00.000,2019-03-07 13:49:00.000,0.0,0.0,1,2.0,1.0,-2.0,-1.0,0.0
20.0,2019-03-05,RST,FJÄRR,Uppehåll,Uppehåll,0,-,11,Av- och påstigande av resande,38,Cst,Fln,Stora Tuna,Sau,Borlänge c,Blg,2019-03-05 16:04:00.000,2019-03-05 16:10:00.000,2019-03-05 16:07:00.000,2019-03-05 16:01:00.000,2019-03-05 15:57:00.000,2019-03-05 15:57:00.000,7.0,4.0,6,6.0,0.0,-3.0,-3.0,-3.0
20.0,2019-03-04,RST,FJÄRR,Passage,Passage,0,-,0,-,6,Cst,Fln,Helenelund,Hel,Kummelby,Kmy,2019-03-04 13:52:00.000,2019-03-04 13:53:00.000,2019-03-04 13:52:00.000,2019-03-04 13:52:00.000,2019-03-04 13:52:00.000,2019-03-04 13:52:00.000,0.0,0.0,1,0.0,-1.0,0.0,-1.0,0.0
20.0,2019-03-22,RST,FJÄRR,Passage,Passage,0,-,0,-,10,Cst,Fln,Norrviken,Nvk,Rotebro,R,2019-03-22 13:55:00.000,2019-03-22 13:56:00.000,2019-03-22 13:55:00.000,2019-03-22 13:54:00.000,2019-03-22 13:55:00.000,2019-03-22 13:54:00.000,0.0,0.0,1,1.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-23,RST,FJÄRR,Passage,Passage,0,-,0,-,10,Cst,Fln,Norrviken,Nvk,Rotebro,R,2019-03-23 13:55:00.000,2019-03-23 13:56:00.000,2019-03-23 13:55:00.000,2019-03-23 13:54:00.000,2019-03-23 13:55:00.000,2019-03-23 13:54:00.000,0.0,0.0,1,1.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-07,RST,FJÄRR,Passage,Passage,0,-,0,-,17,Cst,Fln,Myrbacken,Myn,Knivsta,Kn,2019-03-07 14:14:00.000,2019-03-07 14:15:00.000,2019-03-07 14:17:00.000,2019-03-07 14:12:00.000,2019-03-07 14:14:00.000,2019-03-07 14:12:00.000,0.0,0.0,1,5.0,4.0,-2.0,2.0,0.0
20.0,2019-03-15,RST,FJÄRR,Passage,Passage,0,-,0,-,26,Cst,Fln,Heby,Hy,Isätra,Ist,2019-03-15 14:50:00.000,2019-03-15 14:54:00.000,2019-03-15 14:56:00.000,2019-03-15 14:52:00.000,2019-03-15 14:50:00.000,2019-03-15 14:52:00.000,0.0,0.0,4,4.0,0.0,2.0,2.0,0.0
20.0,2019-03-29,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,20,Cst,Fln,Säby,Säy,Uppsala c,U,2019-03-29 14:20:00.000,2019-03-29 14:24:00.000,2019-03-29 14:25:00.000,2019-03-29 14:22:00.000,2019-03-29 14:20:00.000,2019-03-29 14:22:00.000,0.0,0.0,4,3.0,-1.0,2.0,1.0,0.0
20.0,2019-03-08,RST,FJÄRR,Passage,Passage,0,-,0,-,29,Cst,Fln,Broddbo,Bdo,Rosshyttan,Ry,2019-03-08 15:07:00.000,2019-03-08 15:12:00.000,2019-03-08 15:11:00.000,2019-03-08 15:06:00.000,2019-03-08 15:07:00.000,2019-03-08 15:06:00.000,0.0,0.0,5,5.0,0.0,-1.0,-1.0,0.0
